   139/149     7.69G   0.03218   0.01896  0.001506   0.05265         6       640    0.8094    0.8054    0.8551    0.4878   0.06361    0.1603  0.009453
   140/149     7.69G   0.03242   0.01852  0.001567   0.05251        34       640    0.8348    0.7834    0.8556    0.4889    0.0637    0.1598   0.00947
   141/149     7.69G   0.03215   0.01851  0.001537   0.05219        49       640    0.8123    0.8037     0.856    0.4894   0.06368    0.1597  0.009437
   142/149     7.69G   0.03255   0.01841  0.001541    0.0525         3       640    0.8132    0.8019    0.8557    0.4886   0.06362    0.1604  0.009442
   143/149     7.69G   0.03213   0.01852  0.001547   0.05221        11       640    0.7972    0.8153    0.8548    0.4878   0.06361    0.1606  0.009418
   144/149     7.69G   0.03254   0.01869  0.001497   0.05273        18       640     0.817    0.7995    0.8546    0.4882   0.06365     0.161  0.009401
   145/149     7.69G   0.03233     0.019  0.001503   0.05283        24       640    0.8244    0.7911    0.8538    0.4879   0.06362    0.1612  0.009399
   146/149     7.69G   0.03203   0.01866  0.001481   0.05217        32       640    0.8174    0.7966    0.8536    0.4888   0.06357    0.1614  0.009417
   147/149     7.69G   0.03212   0.01824  0.001523   0.05188        39       640    0.8177    0.7957     0.854    0.4883   0.06361    0.1617  0.009363
   148/149     7.69G   0.03195   0.01882  0.001462   0.05223        18       640    0.8468    0.7733    0.8545     0.489   0.06358    0.1616  0.009345
   149/149     7.69G   0.03205   0.01872  0.001443   0.05221         6       640    0.8367    0.7826    0.8542    0.4889   0.06355    0.1616  0.009355
