   137/149     7.91G    0.0192   0.01952  0.001509   0.04023        26       640    0.8274     0.785    0.8524    0.4652   0.05423    0.2026   0.01341
   138/149     7.91G   0.01913   0.01994  0.001445   0.04052         6       640    0.8218    0.7849     0.852    0.4657   0.05417    0.2036    0.0132
   139/149     7.91G   0.01918   0.02036  0.001559    0.0411        22       640    0.8213    0.7871    0.8523    0.4657   0.05412    0.2035   0.01323
   140/149     7.91G   0.01911   0.01985  0.001444    0.0404        65       640    0.8324     0.778    0.8527    0.4658    0.0542    0.2029   0.01316
   141/149     7.91G   0.01916   0.02026  0.001455   0.04088        73       640    0.8261    0.7855    0.8543    0.4656   0.05422    0.2022   0.01311
   142/149     7.91G   0.01921   0.01969  0.001375   0.04028        14       640    0.8386    0.7773    0.8553    0.4667   0.05414    0.2025   0.01306
   143/149     7.91G   0.01911   0.01932  0.001468    0.0399        13       640    0.8342    0.7829    0.8553    0.4666   0.05409    0.2034   0.01303
   144/149     7.91G    0.0191   0.01986  0.001438    0.0404        12       640    0.8271    0.7898    0.8555    0.4663   0.05406    0.2032   0.01305
   145/149     7.91G   0.01913   0.01965  0.001427    0.0402         5       640    0.8366    0.7804    0.8555    0.4671   0.05398    0.2038   0.01306
   146/149     7.91G   0.01914   0.01952  0.001451   0.04011         4       640    0.8432     0.774    0.8547    0.4669   0.05395    0.2045   0.01306
   147/149     7.91G   0.01926    0.0205  0.001412   0.04117        71       640    0.8411    0.7766    0.8542    0.4673   0.05396    0.2048   0.01302
   148/149     7.91G   0.01911   0.01993  0.001447   0.04048        13       640    0.8499    0.7696    0.8554    0.4671   0.05398    0.2055   0.01314
   149/149     7.91G   0.01911   0.02017  0.001457   0.04074        40       640    0.8386    0.7791    0.8549    0.4669   0.05394     0.206   0.01312
